title,genre,year,media_type
Brooklyn Nine-Nine,"Comedy, Crime",2013–2021,series
A Cure for Wellness,"Drama, Fantasy, Horror",2016,movie
The Great Flood,"Action, Adventure, Drama",2025,movie
10DANCE,Unknown,,
Wake Up Dead Man: A Knives Out Mystery,Unknown,,
Kaantha,"Biography, Drama, Horror",2025,movie
Girl from Nowhere,"Crime, Drama, Fantasy",2018–2021,series
Homebound,"Drama, Horror, Mystery",2021,movie
Sydney White,"Comedy, Drama, Romance",2007,movie
YES DAY,"Comedy, Family",2021,movie
Signal,"Crime, Drama, Fantasy",2016,series
Dark,"Crime, Drama, Mystery",2017–2020,series
The Sinner,"Crime, Drama, Mystery",2017–2021,series
Aaryan,N/A,2025,movie
Bison Kaalamaadan,"Biography, Drama, Sport",2025,movie
Dude,"Comedy, Drama",2018,movie
White Chicks,"Comedy, Crime",2004,movie
Frankenstein,"Drama, Fantasy, Horror",2025,movie
Do Patti,"Crime, Drama, Mystery",2024,movie
Idli Kadai,Unknown,,
Dragon,"Action, Crime, Drama",2011,movie
Jumanji: The Next Level,"Action, Adventure, Comedy",2019,movie
The Fall Guy,"Action, Comedy, Drama",2024,movie
Alice in Borderland,"Action, Drama, Horror",2020–,series
To All The Boys: Always And Forever,"Comedy, Drama, Romance",2021,movie
To All the Boys I’ve Loved Before,Unknown,,
Yeh Jawaani Hai Deewani,"Comedy, Drama, Musical",2013,movie
Maareesan,"Comedy, Drama, Thriller",2025,movie
Queen Mantis,"Crime, Mystery, Thriller",2025,series
Dexter,"Crime, Drama, Mystery",2006–2013,series
Haunted Hotel,"Animation, Comedy, Horror",2025–,series
Black Mirror,"Crime, Drama, Mystery",2011–,series
Beyond the Bar,Drama,2025,series
Kabhi Khushi Kabhie Gham,"Drama, Musical, Romance",2001,movie
Wednesday,"Comedy, Crime, Fantasy",2022–,series
Baking Impossible,"Game-Show, Reality-TV",2021,series
1922,"Crime, Drama, Horror",2017,movie
Mandala Murders,"Crime, Drama, Mystery",2025–,series
My Oxford Year,"Comedy, Drama, Romance",2025,movie
The Great Indian Kapil Show,"Comedy, Talk-Show",2024–,series
Thug Life,"Action, Crime",2001,movie
The Call,"Drama, Horror, Thriller",2013,movie
Squid Game,"Action, Crime, Drama",2021–2025,series
KPop Demon Hunters,"Animation, Action, Adventure",2025,movie
Love Today,"Comedy, Drama, Romance",2022,movie
Love and Leashes,"Comedy, Romance",2022,movie
Qala,"Drama, Music",2022,movie
Inside Job,"Documentary, Crime",2010,movie
The Nice Guys,"Action, Comedy, Crime",2016,movie
The Platform,"Horror, Mystery, Sci-Fi",2019,movie
Bride Wars,"Comedy, Romance",2009,movie
Copycat Killer,"Crime, Drama, Thriller",2023–,series
MINDHUNTER,"Crime, Drama, Mystery",2017–2019,series
Hellbound,"Crime, Drama, Fantasy",2021–2024,series
You,"Crime, Drama, Romance",2018–2025,series
Perusu,Comedy,2025,movie
Good Bad Ugly,"Action, Drama, Thriller",2025,movie
The Perfection,"Drama, Horror, Thriller",2018,movie
Unlocked,"Action, Thriller",2017,movie
Friends,"Comedy, Romance",1994–2004,series
Rush Hour,"Action, Comedy, Crime",1998,movie
Irugapatru,Drama,2023,movie
Glass Onion: A Knives Out Mystery,N/A,2022,movie
Superstore,Comedy,2015–2021,series
Hasan Minhaj: Off With His Head,"Documentary, Comedy",2024,movie
Minnal Murali,"Action, Comedy, Drama",2021,movie
Kadhalikka Neramillai,Short,2021,movie
The Chestnut Man,"Crime, Drama, Mystery",2021–,series
Shyam Singha Roy,"Drama, Romance",2021,movie
Jana 2022 (Tamil),Unknown,,
Forgotten,"Crime, Mystery, Thriller",2017,movie
Saripodhaa Sanivaaram,"Action, Crime, Drama",2024,movie
